p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.23808768044384e-111	0.69954294513925	1	0.992	4.05325144823705e-107	0	RPS27
6.91107878508994e-110	0.643320562226356	1	0.995	2.26254897266274e-105	0	RPS6
7.53701322769242e-110	0.682362515738665	1	0.992	2.46746739048195e-105	0	RPS12
6.68246530616746e-107	0.583507557069476	1	0.995	2.1877054919331e-102	0	RPL32
4.04993032178823e-102	0.580342118836508	1	0.995	1.32586618874703e-97	0	RPS14
2.44079993248224e-101	1.1426898152499	0.957	0.607	7.99069081896036e-97	0	LDHB
4.64802205029969e-99	0.741185976525041	0.996	0.967	1.52166945882711e-94	0	RPL31
8.27109082864969e-98	0.72455440289898	1	0.976	2.70778971548334e-93	0	RPS25
1.59328924752124e-91	0.721985099970076	1	0.972	5.21611033853502e-87	0	RPL9
1.62132730356951e-87	2.19576745998766	0.503	0.122	5.30790132642585e-83	0	CCR7
1.04049101354289e-86	0.721307826357525	0.998	0.96	3.40635948013672e-82	0	RPS13
1.25117805439889e-86	0.634227070394688	1	0.991	4.09610671449107e-82	0	RPL21
8.90084010302326e-85	0.658941655465209	1	0.981	2.91395703292775e-80	0	RPL30
3.37405611145695e-84	0.726644734725754	1	0.976	1.10459848976878e-79	0	RPS3A
4.85763252215199e-84	0.580083180220845	1	0.995	1.59029173510212e-79	0	RPL3
1.23716541376633e-83	0.566346702220578	1	0.991	4.05023213158822e-79	0	RPLP2
3.65527466401195e-81	0.5035072374459	1	0.997	1.19666381950423e-76	0	RPL13
2.10541015022661e-78	0.509731169736212	1	0.99	6.89269174981188e-74	0	EEF1A1
4.75526917155897e-78	0.568097857402963	0.998	0.984	1.55678002138498e-73	0	RPS15A
2.96952267476155e-77	0.510749941714541	1	0.995	9.72162333263437e-73	0	RPS3
1.30798439066162e-73	0.683513663629217	1	0.968	4.28207929814801e-69	0	RPS27A
4.07989398146441e-70	0.579961937475777	0.998	0.983	1.33567569165182e-65	0	TPT1
5.32588550772258e-70	0.553164504419822	1	0.978	1.74358839751822e-65	0	RPS23
1.30877319583989e-69	0.440609243259544	1	0.996	4.28466168854062e-65	0	RPL11
3.53256801115673e-69	0.589650694772758	0.996	0.969	1.15649211549249e-64	0	RPS28
1.68029298801296e-65	0.435062170108111	1	0.999	5.50094318415684e-61	0	RPL13A
1.47579384332052e-63	0.509784719176209	1	0.982	4.83145388426272e-59	0	RPL35A
1.87343118205977e-63	0.449627637258915	1	0.997	6.13323900382726e-59	0	RPS18
1.16139043556809e-62	0.509831424148223	1	0.989	3.80216000796281e-58	0	RPL23A
1.46319908284473e-62	0.686451339496271	0.998	0.91	4.79022115741709e-58	0	RPS29
1.398815580159e-59	0.484843385345016	1	0.992	4.57944244632453e-55	0	RPS4X
1.62819888643285e-59	0.492685002889753	1	0.982	5.33039751440388e-55	0	RPS16
3.99648211893195e-59	0.533648655555798	0.998	0.968	1.30836831609594e-54	0	RPL5
1.33833419362472e-58	0.493242068868543	1	1	4.38143848308861e-54	0	MALAT1
7.99163879698104e-58	0.614476321068896	0.994	0.945	2.61630270935565e-53	0	RPS20
1.0885682860344e-57	0.453896981526206	1	0.988	3.56375485481943e-53	0	RPL27A
3.32944285872554e-57	0.538548839162479	1	0.984	1.08999300308957e-52	0	RPL10A
4.01416563729772e-57	0.943077108222441	0.872	0.435	1.31415754633853e-52	0	CD3D
9.3748895380402e-57	0.389862505061327	1	0.993	3.0691513369636e-52	0	RPL19
3.18129429985118e-56	0.577966362476775	0.998	0.949	1.04149212788528e-51	0	RPSA
1.16659442497537e-54	0.531938447477176	1	0.968	3.81919682848437e-50	0	RPS10
2.41634215700706e-54	0.48565010416189	1	0.974	7.91062095360972e-50	0	RPS5
1.18017371658116e-53	0.782620208689679	0.957	0.799	3.8636527133434e-49	0	NPM1
1.89812188883851e-52	1.91485329980035	0.389	0.115	6.21407143967953e-48	0	PRKCQ-AS1
4.66357461104682e-52	1.99650802622967	0.383	0.112	1.52676105616451e-47	0	LEF1
5.8244744422706e-52	0.326743007088067	1	0.998	1.90681644291055e-47	0	RPL10
3.50222997328938e-47	2.14702931191287	0.325	0.087	1.14656004865548e-42	0	MAL
8.25615944819711e-47	0.938323608611363	0.772	0.417	2.70290148015077e-42	0	CD3E
1.64881177930547e-46	0.878427949564971	0.894	0.7	5.39788000309025e-42	0	TMEM66
1.97597763937892e-46	0.49640829456539	0.996	0.95	6.4689555957987e-42	0	RPL36
3.51656481072686e-46	0.461122098833095	1	0.98	1.15125298773576e-41	0	RPL18
5.70367619279665e-45	0.745376109403753	0.954	0.895	1.86726951199777e-40	0	JUNB
7.48297824477384e-45	1.09721194820987	0.683	0.368	2.44977741777406e-40	0	NOSIP
8.6997351563282e-45	0.707434957030079	0.95	0.779	2.84811929547873e-40	0	RPL22
2.19813399779929e-43	0.524473793638888	0.996	0.959	7.19625108199532e-39	0	RPL4
2.21530699686055e-42	1.40099773492944	0.485	0.194	7.25247204632207e-38	0	PIK3IP1
3.88053834093079e-42	0.362616543666495	1	0.984	1.27041064205392e-37	0	RPL14
1.45086144207131e-40	1.33411935869577	0.449	0.181	4.74983018905306e-36	0	TCF7
1.17900203691223e-39	0.474560663791624	0.994	0.941	3.85981686844326e-35	0	RPLP0
1.58471409262515e-39	0.656844586716103	0.969	0.859	5.18803699643621e-35	0	BTG1
4.80913408662876e-38	0.520443348636377	0.985	0.898	1.57441431728052e-33	0	RPS26
1.04137920631354e-37	0.32107352441548	1	0.99	3.40926724562926e-33	0	RPS15
1.07238455103451e-37	0.395468963446088	1	0.984	3.51077254317678e-33	0	RPS8
3.03771709060789e-37	0.522339798181795	0.986	0.966	9.9448782112321e-33	0	RPL7
1.77655296741414e-36	0.619024560408582	0.959	0.803	5.81607910472042e-32	0	GLTSCR2
3.08565346817084e-36	1.30444338590094	0.47	0.209	1.01018123240977e-31	0	LEPROTL1
5.83736928808895e-36	0.922860034029214	0.621	0.307	1.91103795753456e-31	0	CD7
6.66442328491779e-36	0.296947655956568	1	0.992	2.18179889501639e-31	0	RPL18A
7.1093119734219e-36	0.451313718985499	0.996	0.954	2.32744655385886e-31	0	RPL17
1.29788351295974e-35	0.520647391792894	0.979	0.89	4.24901104472761e-31	0	RPL36A
3.87732931572494e-35	1.35057789096404	0.286	0.088	1.26936007138203e-30	0	LDLRAP1
9.51371162314578e-35	0.31122791525232	1	0.996	3.11459891118546e-30	0	RPS2
2.54689641047465e-34	0.412718722243698	0.996	0.943	8.33802946861192e-30	0	RPL24
4.38497413576737e-34	0.920066470942827	0.646	0.344	1.43555283256752e-29	0	IL7R
8.68909559863218e-34	0.485623800773064	0.965	0.869	2.8446361170802e-29	0	EEF1B2
2.66628391383899e-33	0.992728430626612	0.451	0.189	8.72888027712609e-29	0	CD27
9.67829002596502e-33	0.315648613378166	1	0.992	3.16847858870043e-28	0	RPS19
1.33670833422954e-28	1.77708293670675	0.257	0.084	4.37611574460066e-24	0	OXNAD1
1.49387588695466e-27	0.790661183460485	0.733	0.5	4.89065087871215e-23	0	C6orf48
3.08374110849773e-27	0.493220959572148	0.957	0.871	1.00955516409999e-22	0	RPS4Y1
1.04865740057076e-26	0.339786417347923	1	0.965	3.43309459798857e-22	0	RPL35
1.38109975326735e-25	0.446739949883459	0.957	0.843	4.52144437224666e-21	0	RPS21
1.65735369192972e-25	0.601015493431305	0.946	0.901	5.42584451663951e-21	0	RPL34
3.95878469072137e-25	0.292442457908026	1	0.995	1.29602693204836e-20	0	RPL15
5.32127236847647e-25	0.381909819701272	0.992	0.95	1.74207814799183e-20	0	RPL27
7.88918618934495e-25	0.620332674778521	0.665	0.427	2.58276177466775e-20	0	SELL
1.04845183131274e-23	0.431514875989229	0.961	0.877	3.43242160535165e-19	0	RPL38
1.23962098156087e-23	0.255423865701145	1	0.996	4.05827116943397e-19	0	RPLP1
1.79692298676835e-23	0.380157204518903	0.988	0.946	5.88276647408222e-19	0	RPL37
2.2912865534379e-23	0.520908754238943	0.882	0.701	7.50121391864499e-19	0	RPSAP58
7.36292771437944e-23	0.978947682604452	0.458	0.244	2.41047527513354e-18	0	GIMAP5
1.85518074251729e-22	0.341019685614484	0.996	0.946	6.07349071485312e-18	0	RPL37A
8.71434177616998e-22	0.562812488129644	0.691	0.446	2.85290121068253e-17	0	AES
9.76482634640016e-22	0.81353056079163	0.551	0.315	3.19680884928448e-17	0	LCK
3.48035608930299e-21	1.23310147680612	0.277	0.117	1.13939897651601e-16	0	MYC
4.26524329503307e-21	0.228816796558874	1	0.99	1.39635534992793e-16	0	RPL12
7.57909066743506e-21	1.06479181221742	0.489	0.286	2.48124270270489e-16	0	NDFIP1
1.08758955291633e-20	1.00695772513975	0.389	0.193	3.56055067833748e-16	0	RGCC
1.21896255103092e-20	0.268379665330047	0.925	0.65	3.99063959956502e-16	0	LTB
6.28068350167646e-20	0.715918319435394	0.586	0.39	2.05617016477884e-15	0	TMEM123
1.46290960226794e-19	1.15449424202537	0.304	0.141	4.78927345590477e-15	0	TRAT1
2.0548212707362e-19	0.858619289764953	0.404	0.213	6.72707387613617e-15	0	RHOH
9.5579526155227e-19	0.976895495587566	0.458	0.265	3.12908252726982e-14	0	C12orf57
1.26750758722442e-18	1.24186674029639	0.3	0.142	4.14956633905531e-14	0	FLT3LG
2.88344996104789e-18	0.263900990649428	0.998	0.993	9.43983848247859e-14	0	RPL6
3.43040094514812e-18	0.639488048079211	0.7	0.493	1.12304466142259e-13	0	EVL
3.6050815792768e-18	0.290297532821112	0.996	0.974	1.18023160742364e-13	0	RPL7A
8.37255721937221e-18	0.842395508972925	0.366	0.183	2.74100778247807e-13	0	CD3G
1.35844954028639e-17	1.2913827909006	0.261	0.117	4.44729210498959e-13	0	AAK1
4.85366078524911e-17	0.455430259851989	0.872	0.757	1.58899146787485e-12	0	TOMM7
