seurat_clusters	n_cells	avg_nFeature_RNA	avg_nCount_RNA	avg_percent_mt
0	517	792.257253384913	2356.69245647969	1.83274284368243
1	515	912.819417475728	2622.40776699029	1.85526395129118
2	344	716.825581395349	1932.83139534884	2.19265865390167
3	278	824.330935251799	2042.57913669065	2.39012626410178
4	255	1058.01960784314	3072.52549019608	2.23775223754067
5	217	641.147465437788	1626.50230414747	2.39758801097953
6	166	1223.54819277108	3694.75301204819	2.46201567520523
7	155	527.264516129032	1400.47741935484	2.34321924481223
8	146	1001.56164383562	2386.80136986301	2.09889553774988
9	36	1495.91666666667	5037.11111111111	1.9828221477912
10	14	585.285714285714	1650.14285714286	2.05547862973063
